sentenca,ambiente,bebida,comida,geral,localização,preço,serviço
A lotação é ideal; não é superlotado nem vazio demais.,1,0,0,0,0,0,0
Este restaurante tem um ambiente energético e vibrante.,1,0,0,0,0,0,0
A iluminação de destaque em certas áreas cria um ótimo efeito.,1,0,0,0,0,0,0
A música ao vivo complementa perfeitamente o ambiente.,1,0,0,0,0,0,0
Este lugar é perfeito para um encontro romântico.,1,0,0,0,0,0,0
A decoração minimalista dá uma sensação de espaço.,1,0,0,0,0,0,0
A música ambiente é agradável e relaxante.,1,0,0,0,0,0,0
Adorei a atmosfera acolhedora deste restaurante.,1,0,0,0,0,0,0
A disposição das mesas oferece privacidade sem ser isolada.,1,0,0,0,0,0,0
O ambiente é muito acolhedor e familiar.,1,0,0,0,0,0,0
As janelas grandes proporcionam muita luz natural.,1,0,0,0,0,0,0
Este restaurante é ideal para eventos especiais.,1,0,0,0,0,0,0
A iluminação suave cria uma atmosfera relaxante.,1,0,0,0,0,0,0
"A decoração é elegante, mas sem ser exagerada.",1,0,0,0,0,0,0
A música ao vivo foi um toque inesperadamente agradável!,1,0,0,0,0,0,0
Este lugar tem uma vibe moderna e descolada.,1,0,0,0,0,0,0
A decoração é um equilíbrio perfeito entre clássico e contemporâneo.,1,0,0,0,0,0,0
A música ambiente não é invasiva e complementa bem a experiência.,1,0,0,0,0,0,0
A lotação é ideal para uma refeição tranquila.,1,0,0,0,0,0,0
Adorei a área ao ar livre com mesas no jardim.,1,0,0,0,0,0,0
A iluminação destacando obras de arte é muito bem feita.,1,0,0,0,0,0,0
O interior tem um toque artístico que o torna único.,1,0,0,0,0,0,0
O ambiente é muito relaxante e convidativo.,1,0,0,0,0,0,0
A música de fundo cria uma atmosfera alegre.,1,0,0,0,0,0,0
A decoração é única e cheia de personalidade.,1,0,0,0,0,0,0
A iluminação é perfeita para um jantar romântico.,1,0,0,0,0,0,0
A música ao vivo adiciona um elemento extra de entretenimento.,1,0,0,0,0,0,0
Adorei a sensação arejada deste restaurante.,1,0,0,0,0,0,0
A disposição das mesas garante uma experiência íntima.,1,0,0,0,0,0,0
Este restaurante tem um ambiente acolhedor e caloroso.,1,0,0,0,0,0,0
A decoração é elegante e moderna.,1,0,0,0,0,0,0
A música de fundo é relaxante e não atrapalha a conversa.,1,0,0,0,0,0,0
"A lotação é confortável, sem se sentir apertado.",1,0,0,0,0,0,0
A iluminação cria uma atmosfera íntima e relaxante.,1,0,0,0,0,0,0
"A decoração é simples, mas muito elegante.",1,0,0,0,0,0,0
Este restaurante tem uma vibe muito descontraída.,1,0,0,0,0,0,0
A música ao vivo torna as noites aqui muito especiais.,1,0,0,0,0,0,0
Adorei a combinação de cores no interior.,1,0,0,0,0,0,0
O ambiente é perfeito para uma reunião com amigos.,1,0,0,0,0,0,0
A iluminação indireta cria um clima sofisticado.,1,0,0,0,0,0,0
"A lotação é bem planejada, não há espera longa.",1,0,0,0,0,0,0
Este restaurante tem uma atmosfera convidativa.,1,0,0,0,0,0,0
A música ambiente é muito bem escolhida.,1,0,0,0,0,0,0
A decoração é inspiradora e elegante.,1,0,0,0,0,0,0
A iluminação é suave e relaxante.,1,0,0,0,0,0,0
O ambiente é refinado e elegante.,1,0,0,0,0,0,0
Adorei as mesas ao ar livre no terraço.,1,0,0,0,0,0,0
A música ao vivo é uma adição fantástica.,1,0,0,0,0,0,0
Este restaurante tem uma atmosfera calorosa e acolhedora.,1,0,0,0,0,0,0
A decoração é moderna e atraente.,1,0,0,0,0,0,0
A iluminação é perfeitamente ajustada para jantares.,1,0,0,0,0,0,0
O ambiente é perfeito para uma noite romântica.,1,0,0,0,0,0,0
A música ao vivo é um toque especial neste lugar.,1,0,0,0,0,0,0
"A lotação é confortável, mesmo em horários movimentados.",1,0,0,0,0,0,0
"A decoração é elegante, mas sem ser pretensiosa.",1,0,0,0,0,0,0
Este restaurante tem uma atmosfera vibrante.,1,0,0,0,0,0,0
"Adorei a disposição das mesas, proporciona privacidade.",1,0,0,0,0,0,0
A iluminação cria uma atmosfera aconchegante.,1,0,0,0,0,0,0
O ambiente é descontraído e acolhedor.,1,0,0,0,0,0,0
A música ambiente é perfeitamente ajustada.,1,0,0,0,0,0,0
A lotação é ideal para uma refeição íntima.,1,0,0,0,0,0,0
A decoração é contemporânea e agradável.,1,0,0,0,0,0,0
Este restaurante tem uma energia contagiante.,1,0,0,0,0,0,0
A iluminação realça a beleza do espaço.,1,0,0,0,0,0,0
A decoração parece um pouco datada e cansada.,1,0,0,0,0,0,0
O interior é um tanto monótono e sem graça.,1,0,0,0,0,0,0
"A música ambiente estava muito alta, tornando difícil conversar.",1,0,0,0,0,0,0
O espaço entre as mesas é muito apertado.,1,0,0,0,0,0,0
"A iluminação é muito fraca, dificultando a leitura do cardápio.",1,0,0,0,0,0,0
"O restaurante estava lotado demais, tornando difícil se movimentar.",1,0,0,0,0,0,0
"O ambiente é um pouco barulhento, especialmente durante o jantar.",1,0,0,0,0,0,0
A decoração não combina bem; parece desconexa.,1,0,0,0,0,0,0
O interior é um pouco sombrio e pouco convidativo.,1,0,0,0,0,0,0
A música ao vivo estava muito alta e desagradável.,1,0,0,0,0,0,0
A lotação era excessiva; foi difícil conseguir uma mesa.,1,0,0,0,0,0,0
A iluminação era muito brilhante e incômoda.,1,0,0,0,0,0,0
O ambiente estava abafado e sem circulação de ar.,1,0,0,0,0,0,0
A decoração é muito básica e sem personalidade.,1,0,0,0,0,0,0
A música ao fundo era irritante e repetitiva.,1,0,0,0,0,0,0
"O espaço entre as mesas era muito próximo, não havia privacidade.",1,0,0,0,0,0,0
"A iluminação piscava intermitentemente, o que foi perturbador.",1,0,0,0,0,0,0
"O restaurante estava superlotado, tornando a experiência estressante.",1,0,0,0,0,0,0
A decoração é desatualizada e precisa de renovação.,1,0,0,0,0,0,0
O ambiente estava bagunçado e pouco organizado.,1,0,0,0,0,0,0
A música ao vivo era inadequada para o ambiente.,1,0,0,0,0,0,0
"A lotação era excessiva, demorou muito para conseguir uma mesa.",1,0,0,0,0,0,0
A iluminação era excessivamente brilhante e desconfortável.,1,0,0,0,0,0,0
"O espaço entre as mesas era mínimo, difícil de se mover.",1,0,0,0,0,0,0
A decoração era brega e não combinava com o estilo do restaurante.,1,0,0,0,0,0,0
A música ambiente era alta demais e desconectada.,1,0,0,0,0,0,0
O restaurante estava muito quente e abafado.,1,0,0,0,0,0,0
A lotação era tão alta que não conseguíamos ouvir a nossa própria conversa.,1,0,0,0,0,0,0
A iluminação era tão fraca que mal conseguíamos enxergar os pratos.,1,0,0,0,0,0,0
A decoração era antiquada e mal conservada.,1,0,0,0,0,0,0
A música ao vivo era inadequada e intrusiva.,1,0,0,0,0,0,0
O restaurante estava tão lotado que parecia um mercado.,1,0,0,0,0,0,0
A iluminação era inadequada para um jantar confortável.,1,0,0,0,0,0,0
"O espaço entre as mesas era mínimo, sem privacidade.",1,0,0,0,0,0,0
A decoração parecia desleixada e desinteressante.,1,0,0,0,0,0,0
"A música ambiente era alta demais, arruinando a experiência.",1,0,0,0,0,0,0
O restaurante estava extremamente barulhento e caótico.,1,0,0,0,0,0,0
A lotação era excessiva; esperamos muito tempo por uma mesa.,1,0,0,0,0,0,0
"A iluminação era excessivamente brilhante, criando um ambiente desconfortável.",1,0,0,0,0,0,0
A decoração estava desatualizada e sem charme.,1,0,0,0,0,0,0
A música ao vivo era muito alta e desagradável.,1,0,0,0,0,0,0
"O restaurante estava lotado demais, o serviço foi lento.",1,0,0,0,0,0,0
A iluminação era muito fraca para uma refeição confortável.,1,0,0,0,0,0,0
"O espaço entre as mesas era mínimo, não havia privacidade.",1,0,0,0,0,0,0
A decoração era genérica e sem personalidade.,1,0,0,0,0,0,0
A música ambiente era estranha e inadequada.,1,0,0,0,0,0,0
O restaurante estava abafado e quente demais.,1,0,0,0,0,0,0
A lotação era excessiva; o ambiente era caótico.,1,0,0,0,0,0,0
A iluminação era inadequada para o ambiente.,1,0,0,0,0,0,0
A decoração era pouco inspiradora e sem graça.,1,0,0,0,0,0,0
"A seleção de vinhos é fantástica, com opções para todos os gostos e ocasiões.",0,1,0,0,0,0,0
O barman é um verdadeiro artista; os drinks são elaborados com maestria.,0,1,0,0,0,0,0
"A cerveja artesanal é uma delícia, fresca e cheia de sabor.",0,1,0,0,0,0,0
"Adorei a variedade de cafés oferecidos aqui, perfeitos para qualquer momento do dia.",0,1,0,0,0,0,0
"Os coquetéis tropicais são uma explosão de sabores, especialmente o mojito!",0,1,0,0,0,0,0
A carta de chás é extensa e inclui blends exclusivos que são um verdadeiro deleite.,0,1,0,0,0,0,0
"A seleção de destilados é impressionante, com marcas renomadas e raridades.",0,1,0,0,0,0,0
"O café expresso é perfeito, com um aroma e sabor que me transportam para a Itália.",0,1,0,0,0,0,0
"Os smoothies são refrescantes e nutritivos, uma opção ótima para um dia quente.",0,1,0,0,0,0,0
Os mocktails são tão bem feitos que você nem percebe que não têm álcool.,0,1,0,0,0,0,0
"Os lattes são cremosos e bem equilibrados, com uma dose perfeita de café.",0,1,0,0,0,0,0
"A variedade de chás gelados é excelente, especialmente o de frutas vermelhas.",0,1,0,0,0,0,0
"Os vinhos orgânicos são uma adição maravilhosa ao cardápio, preocupação com o meio ambiente é sempre bem-vinda.",0,1,0,0,0,0,0
O bar oferece uma variedade de licores que adicionam um toque especial aos drinks.,0,1,0,0,0,0,0
Os vinhos locais são uma ótima maneira de apoiar a produção regional e são deliciosos.,0,1,0,0,0,0,0
"Os sucos naturais são feitos na hora, com frutas frescas e são uma explosão de sabor.",0,1,0,0,0,0,0
Os coquetéis clássicos são feitos com ingredientes de alta qualidade e são impecáveis.,0,1,0,0,0,0,0
"O café gelado é tão suave e refrescante, perfeito para os dias quentes de verão.",0,1,0,0,0,0,0
Os smoothies de frutas tropicais são uma opção saudável e deliciosa para começar o dia.,0,1,0,0,0,0,0
Os vinhos envelhecidos são uma verdadeira experiência para os apreciadores da bebida.,0,1,0,0,0,0,0
"Os mocktails são tão bonitos quanto saborosos, uma excelente opção para quem não consome álcool.",0,1,0,0,0,0,0
A cerveja local é uma ótima maneira de experimentar o sabor autêntico da região.,0,1,0,0,0,0,0
"O café com leite é cremoso e reconfortante, exatamente como eu gosto.",0,1,0,0,0,0,0
"Os coquetéis sazonais são uma adição emocionante ao cardápio, sempre algo novo para experimentar.",0,1,0,0,0,0,0
"Os vinhos rosés são perfeitos para acompanhar pratos mais leves, e aqui eles são excepcionais.",0,1,0,0,0,0,0
"A seleção de chás quentes é reconfortante, especialmente em um dia frio.",0,1,0,0,0,0,0
Os sucos detox são uma maneira refrescante de limpar o paladar entre as refeições.,0,1,0,0,0,0,0
"Os coquetéis de assinatura são verdadeiras obras de arte, cada um com sua personalidade única.",0,1,0,0,0,0,0
"A cerveja de trigo é leve e refrescante, perfeita para os dias de verão.",0,1,0,0,0,0,0
"O café descafeinado tem um sabor rico e encorpado, não parece em nada com café descafeinado.",0,1,0,0,0,0,0
"Os lattes gelados são uma indulgência refrescante, especialmente com um toque de caramelo.",0,1,0,0,0,0,0
Os smoothies verdes são uma maneira deliciosa de obter suas porções diárias de vegetais.,0,1,0,0,0,0,0
Os vinhos espumantes são uma excelente escolha para celebrar ocasiões especiais.,0,1,0,0,0,0,0
"Os mocktails são tão elaborados quanto os coquetéis alcoólicos, uma verdadeira experiência de sabor.",0,1,0,0,0,0,0
"A cerveja IPA é robusta e cheia de sabor, um verdadeiro deleite para os fãs de lúpulo.",0,1,0,0,0,0,0
"O café americano é simples, mas perfeitamente preparado, exatamente como eu gosto.",0,1,0,0,0,0,0
"Os coquetéis de frutas são uma explosão de frescor, perfeitos para um dia quente.",0,1,0,0,0,0,0
"A seleção de vinhos tintos é de dar água na boca, com opções para todos os paladares.",0,1,0,0,0,0,0
Os chás gelados são uma opção leve e refrescante para acompanhar a refeição.,0,1,0,0,0,0,0
Os sucos naturais são tão frescos que você pode sentir o sabor de cada fruta.,0,1,0,0,0,0,0
"Os coquetéis de gin são suaves e sofisticados, perfeitos para um happy hour elegante.",0,1,0,0,0,0,0
"A cerveja pilsen é clássica e sempre uma escolha segura, especialmente quando está bem gelada.",0,1,0,0,0,0,0
"O café turco é uma experiência sensorial, desde o aroma até o sabor forte e encorpado.",0,1,0,0,0,0,0
"Os smoothies de açaí são uma explosão de energia e sabor, perfeitos para um café da manhã saudável.",0,1,0,0,0,0,0
"Os vinhos brancos são refrescantes e frutados, perfeitos para acompanhar frutos do mar.",0,1,0,0,0,0,0
"Os mocktails são tão inventivos que nem sinto falta do álcool, uma verdadeira surpresa.",0,1,0,0,0,0,0
"A cerveja stout é rica e encorpada, um verdadeiro banquete para os sentidos.",0,1,0,0,0,0,0
"O café com especiarias é uma descoberta deliciosa, com um toque de canela e cardamomo.",0,1,0,0,0,0,0
"Os coquetéis de rum são uma viagem tropical em cada gole, especialmente com pedaços de fruta fresca.",0,1,0,0,0,0,0
Os vinhos de sobremesa são uma indulgência perfeita após uma refeição maravilhosa.,0,1,0,0,0,0,0
"Os chás quentes são reconfortantes, especialmente quando servidos com um pouco de mel.",0,1,0,0,0,0,0
Os sucos mistos são uma maneira divertida de experimentar diferentes combinações de frutas.,0,1,0,0,0,0,0
"Os coquetéis de tequila são picantes e refrescantes, uma verdadeira explosão de sabor.",0,1,0,0,0,0,0
"A cerveja de abóbora é uma surpresa sazonal deliciosa, perfeita para o outono.",0,1,0,0,0,0,0
O café gelado com chantilly é um verdadeiro deleite para os amantes de café.,0,1,0,0,0,0,0
"Os smoothies de manga são uma explosão tropical em cada gole, perfeitos para os dias quentes.",0,1,0,0,0,0,0
Os vinhos de pequenos produtores têm um caráter único e são uma ótima descoberta.,0,1,0,0,0,0,0
"Os mocktails com ervas aromáticas são uma experiência única, cheios de frescor.",0,1,0,0,0,0,0
"A cerveja de trigo belga é complexa e saborosa, uma escolha excelente.",0,1,0,0,0,0,0
O café com leite de amêndoas é uma opção deliciosa para quem prefere laticínios alternativos.,0,1,0,0,0,0,0
Os coquetéis de inverno são reconfortantes e perfeitos para a temporada.,0,1,0,0,0,0,0
"Os vinhos rosés são minha escolha favorita para um dia de verão, são sempre tão vibrantes.",0,1,0,0,0,0,0
Os chás gelados com frutas frescas são uma maneira saudável e gostosa de se refrescar.,0,1,0,0,0,0,0
Os sucos naturais são uma opção leve e deliciosa para acompanhar qualquer refeição.,0,1,0,0,0,0,0
"Os coquetéis clássicos são feitos com maestria e tradição, sem decepções.",0,1,0,0,0,0,0
"A cerveja sour é uma experiência de sabor única, com um toque de acidez refrescante.",0,1,0,0,0,0,0
"O café espresso é intenso e cremoso, exatamente como deveria ser.",0,1,0,0,0,0,0
Os smoothies detox são uma ótima maneira de limpar o organismo após um dia de indulgência.,0,1,0,0,0,0,0
Os vinhos da casa são uma excelente relação qualidade-preço e nunca desapontam.,0,1,0,0,0,0,0
Os mocktails são uma ótima opção para quem quer se divertir sem álcool.,0,1,0,0,0,0,0
"A cerveja Lager é leve e refrescante, perfeita para acompanhar qualquer refeição.",0,1,0,0,0,0,0
O café com leite condensado é uma indulgência doce que sempre agrada.,0,1,0,0,0,0,0
"Os coquetéis com infusão de ervas são refrescantes e aromáticos, uma verdadeira experiência.",0,1,0,0,0,0,0
Os vinhos da região são uma maneira autêntica de explorar o terroir local.,0,1,0,0,0,0,0
"Os chás quentes aromatizados são reconfortantes, especialmente com um toque de baunilha.",0,1,0,0,0,0,0
"A cerveja estava quente e sem gás, uma grande decepção.",0,1,0,0,0,0,0
Os drinks demoraram uma eternidade para chegar e não estavam tão bons quanto esperávamos.,0,1,0,0,0,0,0
O vinho que pedi estava azedo e claramente não era fresco.,0,1,0,0,0,0,0
Os cafés são muito caros para a qualidade oferecida.,0,1,0,0,0,0,0
Os coquetéis eram fracos e sem personalidade.,0,1,0,0,0,0,0
A seleção de cervejas é limitada e desinteressante.,0,1,0,0,0,0,0
"Os drinks não tinham equilíbrio de sabores, pareciam mal preparados.",0,1,0,0,0,0,0
Os cafés são servidos mornos e sem sabor.,0,1,0,0,0,0,0
"Os smoothies pareciam ser feitos com frutas congeladas, não eram frescos.",0,1,0,0,0,0,0
Os mocktails eram simplesmente sucos com preço exorbitante.,0,1,0,0,0,0,0
"A cerveja artesanal estava fora de estoque, o que é inaceitável para um lugar assim.",0,1,0,0,0,0,0
"O café expresso estava extremamente amargo, era impossível beber.",0,1,0,0,0,0,0
Os vinhos da casa eram de qualidade duvidosa.,0,1,0,0,0,0,0
"O chá gelado tinha gosto de chá velho, claramente não foi preparado na hora.",0,1,0,0,0,0,0
Os sucos naturais eram diluídos e sem sabor.,0,1,0,0,0,0,0
"Os coquetéis estavam muito doces, pareciam refrigerantes.",0,1,0,0,0,0,0
"O café com leite estava aguado, parecia feito com muito leite e pouco café.",0,1,0,0,0,0,0
Os smoothies verdes tinham uma consistência estranha e um sabor desagradável.,0,1,0,0,0,0,0
Os vinhos tinham preços inflacionados em relação à qualidade oferecida.,0,1,0,0,0,0,0
Os mocktails eram simplesmente sucos com um toque de água com gás.,0,1,0,0,0,0,0
A cerveja local era comum e sem graça.,0,1,0,0,0,0,0
O café descafeinado era tão fraco que mal parecia café.,0,1,0,0,0,0,0
Os coquetéis sazonais eram uma tentativa fracassada de serem criativos.,0,1,0,0,0,0,0
Os vinhos brancos eram todos do mesmo tipo genérico.,0,1,0,0,0,0,0
"O chá quente era servido em um copo descartável, o que prejudicava o sabor.",0,1,0,0,0,0,0
Os sucos mistos pareciam diluídos com água.,0,1,0,0,0,0,0
Os coquetéis de gin eram aguados e sem a essência do gin.,0,1,0,0,0,0,0
A cerveja pilsen estava com gosto de latão.,0,1,0,0,0,0,0
O café turco estava queimado e impossível de beber.,0,1,0,0,0,0,0
"Os smoothies de açaí eram extremamente doces, como sobremesa.",0,1,0,0,0,0,0
Os vinhos rosés eram pouco expressivos e sem características marcantes.,0,1,0,0,0,0,0
Os mocktails eram simplesmente sucos com gelo.,0,1,0,0,0,0,0
A cerveja stout era tão forte que não conseguia sentir outros sabores.,0,1,0,0,0,0,0
O café gelado com chantilly estava mais chantilly do que café.,0,1,0,0,0,0,0
Os smoothies de manga tinham um gosto artificial devido ao xarope usado.,0,1,0,0,0,0,0
Os vinhos de pequenos produtores não valiam o preço cobrado.,0,1,0,0,0,0,0
Os mocktails com ervas tinham um sabor estranho e desagradável.,0,1,0,0,0,0,0
A cerveja de trigo belga estava plana e sem vida.,0,1,0,0,0,0,0
O café com leite de amêndoas tinha um sabor artificial de baunilha.,0,1,0,0,0,0,0
Os coquetéis de inverno eram simplesmente versões aguadas de coquetéis clássicos.,0,1,0,0,0,0,0
Os vinhos rosés eram excessivamente ácidos.,0,1,0,0,0,0,0
Os chás gelados com frutas frescas tinham um sabor estranho de casca.,0,1,0,0,0,0,0
Os sucos naturais tinham um gosto de frutas que já estavam passadas.,0,1,0,0,0,0,0
Os coquetéis clássicos eram mal preparados e sem a devida atenção aos detalhes.,0,1,0,0,0,0,0
"A cerveja sour era extremamente azeda, quase não era possível beber.",0,1,0,0,0,0,0
O café espresso estava muito aguado e fraco.,0,1,0,0,0,0,0
Os smoothies detox tinham um gosto muito forte de vegetais.,0,1,0,0,0,0,0
Os vinhos da casa eram decepcionantes para um restaurante desse nível.,0,1,0,0,0,0,0
Os mocktails eram simplesmente misturas de sucos sem inspiração.,0,1,0,0,0,0,0
A cerveja Lager era genérica e sem sabor.,0,1,0,0,0,0,0
"O café com leite condensado estava enjoativo, parecia uma sobremesa.",0,1,0,0,0,0,0
Os coquetéis com infusão de ervas tinham um sabor estranho e artificial.,0,1,0,0,0,0,0
Os vinhos da região eram de qualidade inferior ao esperado.,0,1,0,0,0,0,0
Os chás quentes aromatizados eram artificiais e excessivamente doces.,0,1,0,0,0,0,0
Os sucos naturais eram aguados e sem sabor.,0,1,0,0,0,0,0
Os coquetéis clássicos eram mal feitos e sem criatividade.,0,1,0,0,0,0,0
A cerveja IPA era tão amarga que era difícil de beber.,0,1,0,0,0,0,0
"O café americano estava muito aguado, parecia chá.",0,1,0,0,0,0,0
Os smoothies de frutas tropicais tinham um sabor artificial devido ao uso de xarope.,0,1,0,0,0,0,0
Os vinhos de sobremesa eram extremamente doces e sem complexidade.,0,1,0,0,0,0,0
Os chás gelados eram aguados e sem sabor.,0,1,0,0,0,0,0
Os sucos mistos pareciam ter sido feitos com frutas enlatadas.,0,1,0,0,0,0,0
Os coquetéis de tequila eram excessivamente fortes e mal equilibrados.,0,1,0,0,0,0,0
A cerveja de abóbora era tão doce que parecia uma sobremesa líquida.,0,1,0,0,0,0,0
O café gelado com chantilly era mais chantilly do que café.,0,1,0,0,0,0,0
Os smoothies de manga tinham um sabor artificial devido ao xarope utilizado.,0,1,0,0,0,0,0
Os vinhos de pequenos produtores eram de qualidade duvidosa.,0,1,0,0,0,0,0
Os mocktails com ervas tinham um sabor desagradável e artificial.,0,1,0,0,0,0,0
A cerveja de trigo belga era sem graça e sem personalidade.,0,1,0,0,0,0,0
O café com leite de amêndoas tinha um gosto artificial de baunilha.,0,1,0,0,0,0,0
Os coquetéis de inverno eram simplesmente versões diluídas dos coquetéis clássicos.,0,1,0,0,0,0,0
Os vinhos rosés eram excessivamente ácidos.,0,1,0,0,0,0,0
Os chás gelados com frutas frescas tinham um sabor estranho de casca.,0,1,0,0,0,0,0
Os sucos naturais tinham um sabor de frutas passadas.,0,1,0,0,0,0,0
Os coquetéis clássicos eram mal feitos e sem criatividade.,0,1,0,0,0,0,0
"A comida é simplesmente divina, cada prato é uma explosão de sabores!",0,0,1,0,0,0,0
O sabor da comida é autêntico e delicioso.,0,0,1,0,0,0,0
"O cardápio oferece uma variedade incrível de opções, é difícil escolher apenas uma!",0,0,1,0,0,0,0
"As sobremesas são de dar água na boca, especialmente o cheesecake de morango.",0,0,1,0,0,0,0
"O rodízio é uma experiência gastronômica completa, com uma excelente seleção de carnes e acompanhamentos.",0,0,1,0,0,0,0
Os pratos são sempre frescos e bem preparados.,0,0,1,0,0,0,0
A comida é uma combinação perfeita de ingredientes frescos e temperos bem equilibrados.,0,0,1,0,0,0,0
"As porções são generosas, você realmente sai satisfeito após uma refeição aqui.",0,0,1,0,0,0,0
"O chef realmente entende de gastronomia, cada prato é uma obra de arte.",0,0,1,0,0,0,0
A comida é tão boa que voltamos sempre que possível!,0,0,1,0,0,0,0
"Os pratos vegetarianos são surpreendentemente saborosos, mesmo para quem não é vegetariano.",0,0,1,0,0,0,0
"A apresentação dos pratos é impecável, parece até que estamos em um restaurante estrelado.",0,0,1,0,0,0,0
A variedade de opções no cardápio agrada a todos os paladares.,0,0,1,0,0,0,0
A comida é feita com ingredientes de alta qualidade e isso faz toda a diferença no sabor.,0,0,1,0,0,0,0
"O serviço é rápido e eficiente, não precisamos esperar muito para saborear as delícias do restaurante.",0,0,1,0,0,0,0
A comida é tão boa que recomendo para todos os meus amigos e familiares.,0,0,1,0,0,0,0
"As entradas são irresistíveis, especialmente os pasteizinhos de queijo.",0,0,1,0,0,0,0
"O aroma dos pratos que chega à mesa é simplesmente delicioso, dá água na boca só de sentir.",0,0,1,0,0,0,0
"As opções de pratos para crianças são ótimas, meus filhos adoram!",0,0,1,0,0,0,0
A comida é tão boa que sempre queremos experimentar algo novo do cardápio.,0,0,1,0,0,0,0
"Os pratos são bem temperados, ressaltando o sabor dos ingredientes.",0,0,1,0,0,0,0
O restaurante oferece um menu degustação que é uma verdadeira viagem pelos sabores.,0,0,1,0,0,0,0
A combinação de ingredientes nos pratos é inovadora e surpreendente.,0,0,1,0,0,0,0
A comida é tão fresca que parece que foi preparada na hora em que é servida.,0,0,1,0,0,0,0
Os pratos são preparados com muito cuidado e isso reflete no sabor final.,0,0,1,0,0,0,0
"As opções de sobremesa são irresistíveis, é difícil escolher apenas uma!",0,0,1,0,0,0,0
O restaurante oferece opções saudáveis que são igualmente saborosas.,0,0,1,0,0,0,0
"O cardápio é diversificado, atendendo a diferentes preferências alimentares.",0,0,1,0,0,0,0
A comida é tão boa que sempre voltamos em busca da mesma experiência gastronômica.,0,0,1,0,0,0,0
O sabor dos pratos é autêntico e remete às raízes da culinária regional.,0,0,1,0,0,0,0
O restaurante oferece pratos típicos que nos fazem viajar sem sair da mesa.,0,0,1,0,0,0,0
Os acompanhamentos são tão saborosos quanto os pratos principais.,0,0,1,0,0,0,0
A comida é tão boa que é difícil acreditar que não estamos em um restaurante renomado.,0,0,1,0,0,0,0
O restaurante se destaca pela qualidade e pelo sabor único de cada prato.,0,0,1,0,0,0,0
Os pratos são tão bem apresentados que dá até pena de começar a comer.,0,0,1,0,0,0,0
A comida é tão gostosa que sempre recomendamos para nossos amigos.,0,0,1,0,0,0,0
Os pratos são preparados com tanto capricho que sentimos o carinho em cada pedacinho.,0,0,1,0,0,0,0
"As porções são bem servidas, é impossível sair com fome daqui.",0,0,1,0,0,0,0
O restaurante oferece um menu infantil que agrada até os paladares mais exigentes das crianças.,0,0,1,0,0,0,0
