sentenca,categoria_maritaka
"Bom local, instagramável, funcionários simpáticos, ambientes com espaço kids, área externa pra rua e pro bairro, showzinho ao vivo, área interna climatizada com 2 andares, tendo referência locais e até de série.","local, ambiente, serviço, outros"
"Tudo muito agradável, até dente José Gregório muito atencioso!",serviço
"O Coco Bambu em Manaux, fica no Shopping Ponta Negra, lugar bem bacana, conta com segundo piso, espaço muito bonito, comida diferenciada, e para as mulheres que sentem aquele frio de sempre, levem casaquinho, pois os ar condicionados são muitos bons.","<frase>

comida, ambiente, localização, outros"
Restaurante muito bom!,"comida, bebida, serviço"
É a melhor churrascaria de Manaus,comida
O melhor restaurante de Manaus.,"comida, serviço, ambiente"
"Ótima, um bom restaurante",geral
Melhor churrascaria.,"comida, serviço"
Pizzaria tradicional de Manaus.,"comida, localização"
Ótimo restaurante.,"comida, bebida, serviço"
Excelente restaurante.,geral
"Um bar tradicional amazonense, recanto  de pessoas que gostam de uma cervejinha bem gelada e música ao vivo!","comida, bebida, serviço"
Excelente opção!,"comida, bebida, serviço, ambiente, localização, preço, geral"
Restaurante muito bom para levar a família.,geral
Ótimo restaurante.. é possível fazer fotos estilo cangaceiro rsrsrs,"ambiente, outros"
"Não é barzinho, é realmente um...restaurante mais sofisticado, porém a culinária me surpreendeu.Mais","comida, serviço"
Ótimo restaurante,"<frase>
                geral"
"Restaurante agradável, serviço bom atencioso .",serviço
Tem área externa.,ambiente
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.","comida, serviço"
Boa opção de menu executivo...Mais,"comida, bebida"
"Restaurante novo, muito agradável e atendimento excelente.","serviço, ambiente, geral"
Melhor restaurante de Manaus.,"<frase>
                geral"
"Sem dúvida é o melhor restaurante da cidade quando o assunto é churrasco, além da carne ser deliciosa, os acompanhantos são tão bons quanto.","comida, serviço"
excelente atendimento comemoramos o aniversário da nossa irmã Maria muito bom atendimento agradeço a churrascaria bufalo e recomendo ela,"serviço, ambiente, comida"
Tudo de bom lugar ótimo pizzaria gostosa,"comida, bebida"
"Lugar muito agradável, cafezinho com muitas opções, alem do ótimo visual do lugar.","ambiente, bebida, outros"
Bar tradicional de Manaus.,"comida, bebida, ambiente"
Ambiente Retrô com uma biblioteca interessante!!,ambiente
"Excelente opção em Manaus, comida típica e ambientes de excelente qualidade.","comida, ambiente"
"Excelente restaurante, conheço a casa de Manaus,  não deve nada na qualidade do produtos, ótimos pratos e um excelente atendimento.","comida, serviço"
"O atendimento é muito bom, fica bem localizado em uma rua principal, o ruim é a questão do estacionamento, mas nada que atrapalhe.","serviço, localização, outros"
melhor opção  de gastronomia japonesa na cidade de manaus não tem igual toda minha familia adorou magnifico!!!,"comida, serviço, geral"
"amamos a comida deste restaurante, muito gostoso mesmo, acho que um doselhores de Manaus.","<frase>

comida, serviço"
"Boa pizzaria, amplo espaço, com direito a área para crianças, com sabores entre médio e bom.","comida, ambiente, serviço"
A cada nova opção escolhida me surpreendia mais.,comida
Pizzaria tradicional na cidade com ótimo atendimento.Tem estacionamento.,"serviço, localização, outros"
"Boa comida e é uma ótima opção para quem gosta de uma boa carne, melhor picanha da cidade!","comida, outros"
"Alimentação de primeira qualidade, Natal chefe de cozinha top","comida, serviço"
Esse restaurante é e sempre foi uma ótima opção para se comer uma ótima carne de sol.,comida
"Qualidade, personalidade, cardápio completo e uma vista pro rio negro muito linda","comida, bebida, serviço, ambiente"
Mantém um boa tradição do churrasco,comida
"Um restaurante excelente, comida muito boa e atendimento de primeira... a gentileza e delicadeza do Garçom Senna ao saber que era meu aniversário trouxe uma cortesia para cantar parabéns... muito obrigada?","serviço, comida, outros"
@lilasigridmacena  olhaaaaa manaaa de repente essa seria a melhor opção!,"a frase fornecida não contém informações suficientes para identificar os temas relacionados a um comentário sobre um restaurante a mensagem parece ser um tweet que menciona alguém e inclui emojis, mas não há descrição ou opinião sobre o serviço, bebida, ambiente, comida, localização, preço ou uma avaliação geral do restaurante portanto, não é possível extrair e listar temas relevantes para a análise de satisfação do cliente com base no conteúdo fornecido"
Excelente opção em Manaus.,geral
Ótimo restaurante.,"comida, bebida, serviço"
"Para quem já foi em uma boa churrascaria, a Búfalo não é das melhores.",comida
Rodízio com sushi mto competido....sushi acaba nas primeiras mesas....e quem senta no fundo tem dificuldade pra comer o sushi,"comida, serviço"
Opção vegetariana de ótima qualidade.,comida
A melhor pizzaria,"a partir da frase ""a melhor pizzaria"", podemos identificar os seguintes temas:

- comida
- geral"
Excelente opção de café do fim de tarde!,"café, fim de tarde"
"Local conta com area externa (mais com segurança,pois é todo gradeado) e tambem area interna refrigerada, otimo atendimento e o proprio Adolpho passa nas mesas p saber se estamos bem servidos.","ambiente, serviço"
Gostei da pizza e massas atendimento do garçom gabriel muito legal a pizzaria família gostou aprovado,"comida, serviço"
Uma das melhores pizzaria de Manaus,"comida, ambiente, preço"
"Boa opção para café da manhã, bem localizado, preço bom, comida boa com diversas opções.","comida, bebida, localização, preço, geral"
"Para os Amantes da Carne, é uma excelente opção!",comida
Restaurante cheio mas não deixa a desejar no atendimento e na qualidade dos pratos!,"serviço, comida"
Atendimento excelente e ambiente aconchegante.. com uma bela vista.,"serviço, ambiente"
É uma ótima opção para quem realmente sabe apreciar a culinária paraense.,comida
Um ótimo restaurante para levar a família.,geral
Melhor pizza da zona sul chora pra vender fiado,comida
"Um local super descontraído, bem confortável  e aconchegante, alimentação saborosa.","ambiente, comida"
Rodízio de peixe é uma boa opção.,comida
José Gregório  excelente !!!,serviço
"Estacionamento próprio, área climatizada e área externa/varanda como opção.","localização, ambiente"
Muito boa opção de carnes em Manaus.,comida
"Um bom restaurante,sem dúvidas!Atendimento perfeito,além do tradicional Bacalhau,oferece também,outras opções de carnes.Muito bom!","serviço, comida, bebida"
"Ótimo atendimento, adorei os vários ambientes para comer, área externa e climatizada.","serviço, ambiente"
"Um restaurante excelente, com uma saborosa culinária.",comida
"Uma das Churrascaria mais tradicional de Manaus, a búfalo oferece um ambiente requintado e super agradável, com uma culinária sem igual, pratos ótimos e cardápio super variados vale pena conferir.","comida, ambiente, serviço"
Para mim é sempre uma boa opção quando quero comida japonesa.,comida
"O restaurante então maravilhoso, comidas tipicas .. amo","comida, bebida"
"Restaurante super acolhedor, ótimo ambiente, comidas sensacionais.. Só agradecer ao Sr. Jorge e o Senna que nos atenderam super bem, prestativos, atenciosos, e muito profissionais, principalmente com a minha mãe, que era aniversariante da noite.. deixo aqui meu muito obrigada..","comida, serviço, ambiente"
Com pratos variados de frutos do mar e tem uma área kids muito boa para deixar as crianças.,"comida, outros"
"Há uma opção menos cara se entrar pela Gaúcho's Gourmet, no self-service.",preço
"Cara foi muito incrível, melhor restaurante de Manaus #coco bambu, melhores pratos melhores sobremesas, juntamente com o garçom muito top é incrível, #LUCAS??","serviço, comida, bebida"
"Restaurante muito agradável, a comida é muito bem apresentado e muitas equipe uma volta com diferentes tipos de carnes para experimentar.","comida, serviço"
"Excelente local para comer peixes variados com custo beneficio acessível com muitas opções regionais destaco aqui costela de tambaqui ao qual achei excelente já fui algumas vezes e sempre peço mesmo prato pela sua qualidade, outros peixes regionais também se destacam como boa opção aproveito...Mais","localização, comida, preço"
"Restaurante bom, ótimo custo-benefício churrasco no peso e uma pasta de pimenta forte que é um grande diferencial.","comida, preço, outros"
"Apesar da falta de estacionamento próprio o Adolpho possui um ambiente muito bom, na minha opinião, a área externa é a opção ideal, principalmente para quem não tem pressa para sair do lugar.","ambiente, outros"
"Restaurante bem conceituado em Manaus, mas de alguns anos pra cá a qualidade e quantidade de comida servida vem diminuindo e os preços aumentando!","comida, preço"
Melhor restaurante e churrascaria que já visitei.,"comida, serviço"
Excelente restaurante,"comida, bebida, serviço, ambiente, localização, preço, geral"
"O bar é uma ótima opção pra quem quer fazer o esquenta, encerrar a noite, ou mesmo passar horas na mesa.",bar
Área total climatizada.,ambiente
Muito bom pra lazer,localização
Restaurante rústico e o prato que degustamos foi simplesmente sensacional.,"comida, ambiente"
Sem contar que o preço é muito mais em conta do que de outras peixarias mais renomadas encontradas ao entorno da zona sul.,"preço, localização"
A unica coisa que não gostei é que o banheiro masculino fica no piso superior.,"a frase analisada não se refere a nenhum dos temas específicos relacionados a restaurantes que foram listados ela menciona um aspecto que poderia ser classificado como ""outros"", por não se enquadrar em nenhum dos temas citados anteriormente"
"Ressalto a dedicação dos profissionais, em especial, porque minha mãe deixou cair seu aparelho auditivo lá e mesmo sendo algo minúsculo e de difícil identificação os profissionais da limpeza tiveram o cuidado e a delicadeza de guardar mesmo sem saber o que era.",serviço
Ótimo restaurante!,geral
Um excelente restaurante de alto nível um ótimo serviço e ótima comida considero cinco estrelas e talvez um dos melhores de Manaus para peixes,"serviço, comida, geral"
"Restaurante top, atendimento realizado por Rafael!",serviço
"Uma otima opção local, pra quem gosta de massa",comida
Ambiente agradável e amplo com uma bela vista do rio negro,ambiente
"Considerando o ambiente, é a melhor churrascaria de Manaus: o lugar é requintado, a decoração com a adega no salão principal é muito agradável.","ambiente, comida"
A melhor pizzaria de Manaus!!,"comida, serviço"
Restaurante aconchegante.,"comida, ambiente"
Melhor churrascaria de Manaus!,comida
Primeira churrascaria que fui em que achei a salada melhor que a carne!,comida
Merece a oportunidade deste excelente restaurante que com certeza elevará o seu nível tendo este profissional como colaborador!!!,"comida, serviço"
A área infantil ?,"de acordo com a análise do comentário ""a área infantil"", os temas identificados são:

- outros"
Restaurante tradicional.,"comida, ambiente, serviço, localização, preço"
Ótimo restaurante .. peixe incrível e o Baião .. de respeito,"comida, bebida"
Restaurante muito agradável com a melhor gastronomia da região.,comida
"A melhor e mais completa churrascaria de Manaus, moderna, que trabalha com todos os cortes, carnes de qualidades e de origem comprovada!!!","comida, outros"
Sempre uma ótima opção...mas o pessoal é demorado para atender e fazer a entrega.,serviço
Boa opção de bebidas e comidas típicas.,"comida, bebida"
Bom restaurante.,"comida, bebida, serviço, ambiente, localização, preço, geral"
"Restaurante com bacalhau normal, não sei o que viram demais nele.",comida
Excelente restaurante na Cachoeirinha.,"comida, bebida, serviço, ambiente, localização, geral"
"Para beber, suco de cupuaçu ou de graviola... Pronto, agora já posso voltar para casa satisfeitíssimo e com vontade de voltar e me deliciar com os sabores e aromas da capital amazonense.","comida, bebida, serviço, geral"
Com certeza a melhor opção gastronômica de Manaus.,"comida, geral"
Excelente opção de restaurante.,"comida, bebida, serviço"
Melhor churrascaria de Manaus,"comida, ambiente"
"Este restaurante, relativamente novo na cidade é uma ótima opção para comer um bom peixe e mais elaborado.","comida, bebida"
"Na realidade, trata-se de um bar flutuante, onde você pode comer, beber e tomar banho no rio com segurança, além de praticar stand-up; alugam-se pranchas no local.","bebida, outros"
"Ambiente agradável espetacular, excelente atendimento, comida maravilhosa, tradicional restaurante com comidas típicas.","serviço, ambiente, comida"
Uma ótima opção para conhecer um pouco de Manaus...Restaurante Flutuante no Rio Negro com estrutura de lazer e ambiente agradável.,"localização, ambiente"
Restaurante bom e comida de excelente qualidade.,comida
O La Parrilla sem dúvida hoje é a melhor opção para que está próximo ao aeroporto ou em regiões próximas no raio de 10 KM máximo.,"localização, comida, geral"
Esta é uma ótima opção para um descanso em um final de semana.,geral
"Apesar de ser um restaurante pequeno e que não possui estacionamento privado, até então é fácil estacionar o carro nas proximidades do restaurante.","localização, outros"
"Bar tradicional de samba raiz em Manaus, bem popular, simples com público variado e cerveja gelada.","<frase>
                bebida, ambiente, localização, outros"
O melhor restaurante de Manaus.,"comida, bebida, serviço, ambiente, localização, preço, geral"
Ótima opção de gastronomia regional norte/nordestino.,comida
"Restaurante amplo, bom atendimento e as carnes são ótimas.","comida, serviço"
Sem dúvidas a melhor churrascaria de Manaus ?,"comida, geral"
Serve formiga saúva ...Mais uma ótima opção em Manaus!,"comida, localização"
"Não é um restaurante barato, mas definitivamente uma experiência gastronómica!","preço, comida"
Excelente restaurante.,geral
Procure o que há de melhor em botecos pra comer um petisco e conversar sobre a vida em geral e você encontrará neste local a melhor opção!,"comida, bebida, geral"
"Como todo bom restaurante português, o rei do cardápio é o bacalhau, apesar da cidade estar repletas de peixarias com pratos típicos regionais e peixes de água doce, esse na verdade é um restaurante que estando em Manaus, vale a pena incluir nas suas prioridades.","comida, ambiente"
"Excelente restaurante, garçom Pedro nos atendeu impecavelmente, a comida estava muito gostosa!","serviço, comida"
Uma excelente opção para se reunir com familiares ou amigos.,geral
Fui ao restaurante e saboreei uma bela picanha.,comida
Uma ótima opção de rodízio de carne!,"comida, rodízio"
Ótimo restaurante,"comida, bebida, serviço"
Excelente opção para almoço e jantar.,"<frase>
                comida, geral"
"O restaurante possui boa localização, dentro de um dos melhores shoppings da região.",localização
"Restaurante maravilhoso, camarão,  carne de sol, sobremesas deliciosas e música ?ao vivo.","comida, bebida, ambiente, outros"
Restaurante excelente!!!,"comida, bebida, serviço, ambiente, preço, localização, geral"
"As pessoas nos atenderam bem e fiz uma reserva ao lado da área kids foi bacana tinha pula pula, escorregador, cavalinho bem bacana pra se divertir num local diferente e comer diversidades de comida.","serviço, ambiente, comida, outros"
Ótimo restaurante,"comida, bebida, serviço"
"Bom café, falta uma melhor apresentação dos tipos de grãos,  não servem água com gás, ótima opção de lanches, porém, com valor um pouco salgado..","café, apresentação, água com gás, lanches, preço"
Boa opção pra comer peixe.,comida
Muito bom o restaurante!,"comida, bebida, serviço, geral"
"Restaurante sofisticado, é uma ótima opção para quem quer comer comida típica.",comida
"Excelente opção no café, almoço ou brunch!!!","comida, bebida"
"Restaurante tranquilo, bom atendimento, atendente Mateus foi muito atencioso.","serviço, ambiente"
"Restaurante muito bom, super recomendo atendimento diferenciado e os pratos deliciosos","serviço, comida"
"Vou ao Gaúcho's, quase toda vez para comemorar algo, um restaurante com buffet agradável, carnes deliciosas, sobremesas boas, limpo, bebidas agradáveis, garçons simpáticos, em geral bom restaurante para ir.","vou ao gaúcho's, quase toda vez para comemorar algo, um restaurante com buffet agradável, carnes deliciosas, sobremesas boas, limpo, bebidas agradáveis, garçons simpáticos, em geral bom restaurante para ir'

temas identificados:
comida
bebida
serviço
ambiente
localização
geral"
Hoje eh o resquício do que já foi a pastelaria muito boa de Manaus.,comida
"Maravilhoso restaurante para desfrutar com a família, ou amigos pratos variados do cardápio amazonense.","comida, ambiente"
"Melhor restaurante em Manaus, sem duvida!!",geral
"Ótimo restaurante, ambiente calmo e moderno, mesas bem distruídas, a pesar do espaço não ser grande, com bom atendimento.","ambiente, outros, serviço"
"Restaurante muito bonito, música ambiente de qualidade, comida maravilhosa, o atendimento foi ótimo em especial pelo sr. Pedro Jacks que nos deu a sugestão do prato que fez a felicidade da família!","ambiente, comida, serviço"
"Excelente restaurante self service, com um cardápio variado e de excelente qualidade.","comida, bebida"
"O café regional Priscila é uma excelente opção para quem quer uma refeição diversificada, pois lá você muitas comidas típicas: tapiocas de vários sabores, bolos diversos - vale a pena conferir o bolo de aimpim com cobertura de calda de cupuaçu.","comida, bebida"
É uma boa opção para almoço com amigos quando não se quer gastar tanto indo em um rodízio.,"comida, preço"
"Um ótimo restaurante, ar condicionado, atendimento top.",serviço
"É bem divertido, mas poderia ter mais mesas na área externa","ambiente, outros"
"Atendimento excelente, e para quem tem crianças, tem uma área kids muito boa,  com brinquedos novos e muitas opções pros pequenos.","serviço, ambiente"
"Quem procura diversidade e está disposto a pagar um pouco mais por isso, pode encontrar no Molen uma ótima opção.","preço, geral"
O bar mais tradicional de Manaus.,"a frase ""o bar mais tradicional de manaus"" não fornece informações específicas sobre serviço, bebida, ambiente, comida, localização, preço ou uma visão geral do estabelecimento portanto, não é possível identificar temas relevantes para a análise de restaurantes a partir desta frase"
"Restaurante aconchegante, música ao vivo, excelente atendimento, e qualquer prato e feito com muito capricho e muito sabor.","ambiente, música, serviço, comida"
A localização é boa também e numa rua tranquila de estacionar .,localização
Mais uma ótima opção em Manaus!,"comida, ambiente"
Restaurante excelente.,"comida, bebida, serviço, ambiente, preço, geral"
O Mercato 101 tem área interna e externa.,ambiente
"É um ótimo restaurante onde se come muito bem ,com um preço  compatível  com o nível do restaurante.","comida, preço"
"Restaurante bom, vale a pena para um jantar tranquilo.",geral
O melhor restaurante de peixe gourmet de Manaus!,comida
Melhor restaurante de Manaus,"comida, bebida, serviço, ambiente, geral"
"Ótima opção, variedade de pizzas",comida
Uma boa opção,"comida, bebida, serviço"
"Ótimo restaurante anexo ao Manauara Shopping, com pratos típicos do Amazonas.","localização, comida"
"Ótimo bar local para um lanche rápido, com cervejas locais e conversar com pessoas locais agradáveis!","serviço, bebida, ambiente"
É um bar obrigatório para qualquer dia da semana.,"bebida, ambiente"
"Estava em outro local, fui ao Banzeiro so pra conhecer o tao famoso restaurante, entao nao pedi prato principal.","comida, bebida, serviço"
Melhor restaurante,"comida, bebida, serviço, ambiente"
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.","comida, serviço"
"O Alentejo é sem dúvida um excelente restaurante português que nada fica a dever a qualquer outro restaurante, em qualquer lugar do mundo.","alentejo, excelente, restaurante, português, qualquer, outro, restaurante, mundo"
"Vibe massa, melhor bar do Centro de Manaus.","<frase>
                ambiente, geral"
Melhor churrascaria de Manaus,"comida, serviço"
"O chopp local é muito bom..O restaurante fica no primeiro piso, com janelas enormes que têm vista para o Teatro Amazonas.","<frase>
                chopp, local, piso, vista"
"Localizado em um centro gastronômico, com estacionamento comum privativo gratuito, esse local oferece chopp e petiscos a bons preços e ótima qualidade, servidos por meio de um bom atendimento, em um ambiente bem arejado, área comum, rústico e coberto.","serviço, localização, preço, comida, ambiente"
"Pizzaria ampla, climatizada, limpa e pizzas de ótima qualidade (massa fina, cobertura na medida certa e borda salpicada de gergelim).","comida, ambiente"
Restaurante muito bom.,"comida, bebida, serviço"
Melhor restaurante de culinária local.,comida
"Todos são muito atenciosos, hoje em dia pra mim o Matsuri é um dos melhores japonês de Manaus.","serviço, geral"
"Confesso que esperava mais do restaurante, isso pode ter impactado na minha avaliação, mas é uma belíssima opção de jantar a dois, com a vista da praça e do teatro e pratos bem feitos, esteticamente muito bem apresentados e saborosos.","comida, ambiente, serviço"
Ótimo restaurante.,"comida, bebida, serviço, geral"
"O chopp local é muito bom..O restaurante fica no primeiro piso, com janelas enormes que têm vista para o Teatro Amazonas.","bebida, ambiente, localização"
Churrascaria mais top de Manaus!,"comida, serviço"
"Comida muito boa, área externa agradável, o pedido não demorou muito pra chegar.","comida, ambiente, serviço"
"Ambiente agradável espetacular, excelente atendimento, comida maravilhosa, tradicional restaurante com comidas típicas.","ambiente, serviço, comida"
"É um bar comum mas com uma localização invejável, a partir das 17: horas coloca suas mesas na rua, literalmente.","localização, outros"
Ótimo restaurante,"comida, bebida, serviço"
Acho que é o primeiro restaurante italiano em Manaus que me satisfez no sabor.,comida
"Restaurante atrativo, acolhedor, serviço top!","serviço, ambiente"
Atendimento e alimentação excelente,"serviço, comida"
"Como todo bom restaurante português, o rei do cardápio é o bacalhau, apesar da cidade estar repletas de peixarias com pratos típicos regionais e peixes de água doce, esse na verdade é um restaurante que estando em Manaus, vale a pena incluir nas suas prioridades.","comida, ambiente, localização"
"Excelente localização, com música boa, excelentes pratos, paisagem deslumbrante, ótima opção pra levar a família e até mesmo só e fazer novas amizades.","localização, ambiente, comida, outros"
E temos muito prazer em dizer que o La Parrilla é além de um excelente restaurante um lugar para estar com a família e com amigos .,geral
"Excelente restaurante, provavelmente o melhor de Manaus.","<frase>

temas identificados: geral"
"No calçada alta vc chega 11h e eles ainda vão cozinhar tudo, ou seja, tempo de espera é no mínimo 40 minutos, isso para o prato do dia, imagina os outros pratos mais trabalhados....","comida, serviço, tempo de espera"
"A nova loja do Adrianópolis no início da rua Paraíba é ótima, espaçosa e possui bom estacionamento.","localização, ambiente, outros"
O melhor bar com música ao vivo é o melhor samba.,"bar, música ao vivo, samba"
Uma ótima opção!,"comida, bebida, serviço"
"Ótimo restaurante, ótimos preços, comida saborosa... Situado dentro do mercado central, voltaria novamente e recomendo a todos a visita!!","comida, preço, localização, geral"
Excelente restaurante.,"comida, bebida, serviço, geral"
"Com certeza um dos melhores estabelecimentos da cidade, aqui você consegue comer bem e ainda ser muito bem atendido.","serviço, comida"
Restaurante excelente.,"comida, bebida, serviço"
"Tudo muito maravilhoso, área kids muito boa, as pizzas demoraram um pouco, mas o Eduardo conseguiu nós trazer nossas preferências, fora isso tudo foi muito bom.","comida, bebida, serviço"
"(Tradução do Google) A opção vegana não foi tão boa, mas adorei o ketchup de curry e chipotle.",comida
Excelente restaurante,"comida, bebida, serviço, ambiente"
Essa é uma boa opção de restaurante regional de rede.,geral
"Restaurante maravilhoso, do atendimento dos funcionários todos solícitos e educados, ambiente lindíssimo e confortável..comida gostosa demais.. Lado ruim do estabelecimento são os preços, um verdadeiro assalto a mãos armadas, uma tigela de arroz pequena, uma porção de brócolis refogado e três pedaços pequenos de bacalhau por 370 reais... Portanto quem não quer gastar muito, não índico!","serviço, ambiente, comida, preço, geral"
Muito top melhor churrascaria de Manaus!,"comida, ambiente, serviço"
"A costela de Tambaqui da unidade do Shopping Manauará, da de dez em outro restaurante famoso de Manaus, muito saboroso e com uma guarnição quea até da para dividir com mais uma pessoa (que coma pouco).","comida, serviço"
Um ótimo restaurante em Manaus tradicional,"comida, bebida, ambiente, geral"
Excelente opção de entretenimento com os amigos.,geral
Restaurante obrigatório conhecer em Manaus,localização
"(Tradução do Google) Big hambúrgueres com um ótimo sabor, um bar adicional, você tem que chegar cedo porque geralmente fica cheio  (Original) Hamburguesas grandes con un gran sabor, un bar adicional, hay que llegar temprano por qué suele llenarse","comida, bebida, serviço, ambiente"
"Fui comemorar mais uma data super especial neste incrível restaurante, como sempre, atendimento impecável e comida saborosa e o melhor com preço justo...","comida, serviço, preço"
Na minha opinião o melhor restaurante contemporâneo de Manaus.,geral
Restaurante típico nordestino com pratos variados da cozinha nordestina.,comida
Excelente restaurante.,"comida, geral"
"Estacionar é um pouco trabalhoso, visto que fica em uma rua movimentada.",localização
"Tradicional restaurante de Manaus,  excelente variedade de comida,  pratos sofisticados, e uma culinária bem diversificada, em um ambiente que se adequou a modernidade.","comida, bebida, ambiente"
Boa visão colocando área kids...,área kids
Opção familiar excelente.,"comida, ambiente, preço, geral"
Muito bom restaurante.,"comida, bebida, serviço, geral"
Muito bom ambientes agradável e cardápio maravilhoso!??,"ambiente, comida"
Restaurante otimo para a familia..Varios oratos de comida regional e assados..,"comida, bebida, outros"
Excelente opção de cozinha regional.,comida
Melhor restaurante de Manaus.,"comida, geral"
"Não é o melhor restaurante de Manaus, mas é muito gostoso....Mais","comida, bebida, geral"
Muito interessante a decoração do ambiente Se não me engano é uma rede e tem umas 3 cachaçarias A que fui fica no shopping Manauara  Comida típicas gourmets ótimas  Encontrei no menu até o famoso joelho de porco alemão  (muito bom tb) Como o lugar...Mais,"ambiente, comida, outros"
"Restaurante sempre cheio, com atendimento cordial, muito acima da média praticada na capital amazonense.","serviço, ambiente"
"Churrascaria alto nivel.maravilhosa,comida de primeira atendimento espetacular,parabéns ao garçons,inclusive o alexandre","serviço, comida"
"Massa esse restaurante, sempre indico para amigos.","comida, bebida, serviço, geral"
"Esse é o restaurante mais completo no que diz respeito à comida típica da região, pois é possível encontrar todas as opções de comida regional, além de uma excelente qualidade nos pratos.","comida, serviço"
"Excelente opção de caldos e sanduiches, em Manaus.","comida, bebida"
Restaurante perfeito comida muito bem preparada é bem saborosa.,"comida, bebida"
"Apesar de estar localizado em um Shopping, o Coco Bambu Manaus é um bom restaurante, porém verificamos algumas falhas.","serviço, ambiente, localização, geral"
"Porém, se isso não lhe for incômodo e a parte da comida que convém, pode ir que é uma boa opção.",comida
"Excelente opção gastronômica e para quem gosta de cervejas artesanais, tem algumas com o rótulo do próprio Dedé, neste dia destaco o atendimento da funcionária Eliana que nossa atendeu com muita eficiência e simpatia, inclusive quando percebeu que o queijo coalho estava queimado embaixo trocou...Mais","serviço, bebida, comida"
"Fui toda animada por ser um restaurante famoso, mas me decepcionei com a comida.",comida
Excelente restaurante.,geral
"É um bom bar, cerveja gelada, e música boa, samba, claro!","bebida, ambiente"
"Um restaurante flutuante com uma comida regional diferenciada, muito boa.","comida, ambiente"
É a melhor churrascaria de Manaus!!!,"comida, geral"
Não conheci restaurante tão aconchegante em Manaus.,"ambiente, geral"
Uma boa opção pra quem quer ficar literalmente de bubuia naquele calor maravilhoso de Manaus e a comida muito boa tmb,"comida, bebida, serviço"
Restaurante muito sostificado .Atendimento excelente.Recomendo este restaurante à todos.,"serviço, ambiente"
